,precision,recall,f1-score,support
Major,0.8983425414364641,0.8894967177242888,0.8938977460142936,914.0
Minor,0.8969505783385909,0.9142550911039657,0.9055201698513801,933.0
Moderate,0.8729763387297634,0.7956867196367764,0.832541567695962,881.0
Unknown,0.8589341692789969,0.9256756756756757,0.8910569105691057,888.0
accuracy,0.8819137168141593,0.8819137168141593,0.8819137168141593,0.8819137168141593
macro avg,0.8818009069459538,0.8812785510351766,0.8807540985326853,3616.0
weighted avg,0.8821254616160134,0.8819137168141593,0.8812501427140237,3616.0
